DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-06-10,268.0,268.96,241.2,241.2,39084092,45.03
2026-06-11,241.5,251.0,240.33,243.89,11214436,23.58
2026-06-12,248.81,253.88,242.39,252.04,5069342,41.27
2026-06-15,257.0,260.69,241.0,246.04,6523476,28.71
2026-06-16,244.85,246.36,231.3,233.8,3490745,34.71
2026-06-17,235.99,240.76,231.38,236.71,2491996,25.1
2026-06-18,238.39,249.19,234.65,247.58,3946193,35.57
2026-06-19,246.71,252.9,240.5,242.95,2242963,34.86
2026-06-22,244.2,261.75,242.2,256.79,8260063,30.09
2026-06-23,258.89,266.0,251.11,253.18,5896342,25.34
2026-06-24,254.3,267.4,253.81,258.95,6509470,22.41
2026-06-25,261.95,261.95,244.0,246.7,3293441,42.48
2026-06-26,261.95,261.95,244.0,246.7,3293441,42.48
2026-06-29,248.0,255.95,242.5,254.79,2776007,33.34
2026-06-30,255.78,263.0,243.1,250.7,6347303,22.38
2026-07-01,251.0,254.45,238.25,240.35,3381919,41.77
2026-07-02,243.5,246.5,241.45,244.1,1353639,35.31
2026-07-03,246.0,248.6,239.5,243.7,2282182,31.01
2026-07-06,245.0,245.7,235.0,236.1,1525961,52.52
2026-07-07,238.0,240.15,231.9,238.35,1353849,40.17
2026-07-08,234.95,238.45,228.0,230.4,1080496,43.69
2026-07-09,232.4,234.75,223.05,224.65,1413756,50.42
2026-07-10,227.9,227.9,219.0,223.5,1762463,38.41
2026-07-13,223.95,235.2,221.3,229.3,1545077,37.19
2026-07-14,229.0,229.05,224.25,224.75,594807,46.9
2026-07-15,226.0,227.2,220.65,222.0,709800,46.91
2026-07-16,222.55,228.5,220.8,222.6,839378,35.61
2026-07-17,223.4,223.55,214.05,216.95,866875,37.28
2026-07-20,216.95,219.05,213.3,216.4,667725,42.71
2026-07-21,217.2,224.9,217.2,221.65,855185,41.99
