DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,136.0,136.0,133.42,134.33,3102,91.04
2025-04-15,135.68,136.55,135.36,136.55,1510,97.62
2025-04-16,136.54,136.89,135.68,135.7,1573,94.91
2025-04-17,138.97,138.98,136.59,137.31,1181,44.88
2025-04-21,137.31,139.08,137.31,139.07,4048,61.96
2025-04-22,139.48,139.99,139.45,139.79,217,96.77
2025-04-23,140.32,141.62,140.28,141.29,79,50.63
2025-04-24,141.28,142.93,141.23,142.02,112,83.04
2025-04-25,141.09,141.09,137.94,138.78,1952,83.2
2025-04-28,138.78,141.95,138.78,141.95,1836,51.58
2025-04-29,144.67,144.68,140.0,140.81,730,72.19
2025-04-30,140.81,142.13,140.81,141.28,614,53.75
2025-05-02,141.66,142.14,139.87,140.49,1661,19.63
2025-05-05,141.19,143.0,140.8,142.95,2794,48.07
2025-05-06,141.49,141.49,140.25,140.4,703,72.4
2025-05-07,140.41,140.54,139.66,140.54,1617,55.97
2025-05-08,139.19,139.42,137.58,137.77,6332,95.07
2025-05-09,136.4,137.85,136.11,137.62,648,49.38
2025-05-12,138.31,138.55,135.5,137.95,2757,50.67
2025-05-13,142.09,142.09,139.18,139.76,1530,82.61
2025-05-14,139.91,140.38,139.75,139.83,666,81.98
2025-05-15,140.5,141.83,140.0,141.42,1567,99.94
2025-05-16,141.5,144.0,140.64,141.7,4151,99.28
2025-05-19,141.97,143.58,141.28,142.09,1181,64.69
2025-05-20,141.47,141.79,139.87,140.19,946,80.02
2025-05-21,141.47,141.9,141.04,141.35,2217,51.11
2025-05-22,140.36,140.92,140.06,140.92,2540,98.9
2025-05-23,139.63,140.96,139.6,140.59,1178,67.66
2025-05-26,141.16,141.54,140.58,140.79,425,98.35
2025-05-27,141.49,141.49,140.33,140.57,211,81.99
2025-05-28,140.33,140.33,139.25,140.04,952,63.97
2025-05-29,140.08,140.56,139.91,140.56,170,97.65
2025-05-30,140.54,140.54,139.5,139.57,764,99.87
2025-06-02,139.16,140.14,138.93,140.09,2885,48.8
2025-06-03,144.29,144.29,138.74,139.06,2487,79.57
2025-06-04,139.36,139.7,139.0,139.19,683,50.81
2025-06-05,140.61,141.51,140.61,141.19,1199,61.72
2025-06-06,141.2,141.9,140.42,141.36,981,88.18
2025-06-09,142.03,142.98,141.95,142.47,300,95.33
2025-06-10,143.24,143.49,142.7,143.49,2501,48.78
2025-06-11,143.9,143.91,143.56,143.77,117,91.45
2025-06-12,144.35,145.69,143.32,143.5,3374,85.66
2025-06-13,143.12,143.97,143.09,143.94,1217,62.86
2025-06-16,143.72,144.79,143.16,144.43,744,93.15
2025-06-17,143.71,143.92,141.8,142.23,946,81.18
2025-06-18,142.48,142.52,141.0,141.13,483,94.2
2025-06-19,141.0,141.05,140.15,140.72,710,91.55
2025-06-20,140.76,141.47,140.76,141.46,116,91.38
2025-06-23,141.4,141.79,140.44,141.6,584,45.72
2025-06-24,141.6,142.87,141.6,141.92,2226,52.61
2025-06-25,142.88,143.12,142.3,143.1,2819,91.2
2025-06-26,143.19,143.36,142.57,143.36,325,96.92
2025-06-27,143.74,144.8,143.74,144.71,517,71.57
2025-06-30,145.59,145.59,144.39,144.98,3590,84.57
2025-07-01,145.7,145.7,144.52,145.53,1878,99.84
2025-07-02,145.47,146.29,145.3,145.9,1369,89.85
2025-07-03,146.62,146.95,146.17,146.65,1753,28.98
2025-07-04,146.7,147.74,146.7,147.36,6023,99.88
2025-07-07,147.36,148.3,147.36,147.78,790,81.9
2025-07-08,147.78,147.78,146.13,146.78,1828,77.52
2025-07-09,146.78,147.02,146.25,146.34,21224,29.05
2025-07-10,145.86,145.86,145.0,145.7,1703,50.21
2025-07-11,145.7,146.09,144.94,145.65,1004,100.0
2025-07-14,145.65,147.66,145.61,147.2,1556,83.23
2025-07-15,147.93,149.1,147.09,148.77,1122,88.77
2025-07-16,148.94,149.0,148.5,148.5,188,100.0
2025-07-17,148.93,149.25,148.12,148.14,3561,97.47
2025-07-18,147.99,147.99,147.38,147.75,225,86.22
2025-07-21,147.63,147.96,146.87,147.33,761,87.52
2025-07-22,146.52,146.8,146.0,146.57,1448,65.47
2025-07-23,146.57,147.38,146.57,147.38,74,98.65
2025-07-24,151.8,151.8,148.34,148.67,755,98.28
2025-07-25,148.7,149.62,148.57,148.89,894,79.19
2025-07-28,149.39,150.86,148.97,150.0,3255,30.26
2025-07-29,150.0,151.67,149.68,151.41,1802,69.53
2025-07-30,151.41,151.89,151.03,151.29,1284,77.18
2025-07-31,152.04,152.04,149.45,149.98,2836,65.51
2025-08-01,150.72,150.72,145.53,145.96,3953,75.99
2025-08-04,145.6,146.87,145.53,146.84,625,80.16
2025-08-05,146.4,146.4,145.12,145.9,1014,71.5
2025-08-06,144.58,144.77,143.3,143.6,3186,63.31
2025-08-07,143.82,144.26,142.05,144.19,1835,60.65
2025-08-08,143.45,143.66,142.7,142.72,340,92.94
2025-08-11,143.02,144.03,142.47,144.03,579,68.05
2025-08-12,143.91,145.52,143.91,145.03,574,76.48
2025-08-13,146.48,148.12,146.42,147.83,1454,90.44
2025-08-14,147.89,147.93,147.29,147.39,168,92.86
2025-08-18,147.5,148.19,146.89,147.8,1140,67.02
2025-08-19,147.66,147.68,147.19,147.3,232,94.4
2025-08-20,147.1,147.31,147.0,147.24,170,67.65
2025-08-21,147.17,148.66,147.17,148.65,766,57.7
2025-08-22,148.66,148.94,148.14,148.94,194,79.38
2025-08-25,148.6,148.94,148.17,148.3,6145,51.6
2025-08-26,149.04,150.98,145.64,146.05,5514,54.52
2025-08-28,145.13,145.46,144.9,145.15,641,98.91
2025-08-29,145.35,145.95,144.4,144.89,658,79.64
2025-09-01,145.22,145.87,144.63,144.63,2631,99.96
2025-09-02,144.63,145.31,144.48,144.84,1142,64.27
2025-09-03,145.0,146.27,144.88,146.14,870,69.77
2025-09-04,146.14,146.74,145.68,146.12,735,58.1
2025-09-05,146.37,147.44,145.33,146.28,7888,69.0
2025-09-08,145.71,146.7,145.22,145.43,686,83.38
2025-09-09,145.67,146.69,145.63,146.69,420,76.67
2025-09-10,147.42,147.44,146.69,147.13,490,98.37
2025-09-11,148.01,148.18,147.24,148.1,220,74.09
2025-09-12,148.35,148.87,148.28,148.47,154,97.4
2025-09-15,148.51,148.52,147.44,147.99,1965,70.03
2025-09-16,147.9,148.18,147.34,147.7,868,89.86
2025-09-17,147.93,148.15,147.23,147.75,1033,75.7
2025-09-18,147.75,149.6,147.73,149.44,6979,62.89
2025-09-19,149.6,149.99,149.46,149.99,2419,92.85
2025-09-22,149.99,149.99,148.06,148.19,2718,92.16
2025-09-23,148.26,148.3,147.81,147.99,408,82.35
2025-09-24,147.94,147.99,146.8,146.91,813,58.43
2025-09-25,146.91,147.62,145.24,145.79,2599,70.64
2025-09-26,143.0,144.04,142.33,142.4,22501,18.55
2025-09-29,142.76,144.16,142.26,142.28,3690,62.14
2025-09-30,142.99,143.0,142.21,142.38,903,70.32
2025-10-01,143.63,144.4,143.63,144.15,1370,85.62
2025-10-03,144.45,144.46,143.04,144.24,1395,81.0
2025-10-06,144.2,145.55,144.2,145.21,3396,41.46
2025-10-07,145.36,145.95,145.36,145.94,306,99.67
2025-10-08,146.69,147.0,145.5,145.5,1034,52.8
2025-10-09,146.5,147.28,146.38,147.28,2817,88.04
2025-10-10,146.92,149.01,146.6,148.27,5618,98.06
2025-10-13,148.27,148.91,147.78,148.79,2211,52.96
2025-10-14,150.98,150.98,147.35,148.1,1030,52.33
2025-10-15,148.1,148.66,148.04,148.31,770,91.3
2025-10-16,148.64,148.78,147.73,148.46,1237,87.63
2025-10-17,148.5,150.04,148.37,149.77,3323,100.0
2025-10-20,150.04,151.37,150.04,150.83,3049,47.65
2025-10-23,151.9,152.22,150.67,150.68,2760,55.91
2025-10-24,150.68,150.98,149.6,149.84,455,97.14
2025-10-27,149.62,150.07,149.35,149.87,3382,48.7
2025-10-28,149.97,150.25,148.58,149.13,2224,38.71
2025-10-29,149.5,150.97,149.5,150.49,9176,64.24
2025-10-30,148.66,149.66,148.6,149.16,928,52.91
2025-10-31,149.23,149.23,148.08,148.23,1722,99.36
2025-11-03,148.3,149.68,148.2,149.59,493,83.37
2025-11-04,148.93,149.68,148.5,149.68,447,56.38
2025-11-05,148.93,149.68,148.5,149.68,447,56.38
