DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,10.91,11.35,10.1,11.07,213360,69.74
2026-08-18,11.12,11.24,10.58,10.92,148016,75.68
2026-08-19,11.1,11.1,10.2,10.4,205983,80.14
2026-08-20,10.55,10.7,10.1,10.38,370610,76.15
2026-08-21,10.35,10.57,10.3,10.42,125005,67.17
2026-08-24,10.42,10.91,10.32,10.86,292638,78.87
2026-08-25,10.98,11.48,10.3,11.34,735822,86.21
2026-08-26,11.59,11.99,10.5,11.72,652874,72.65
2026-08-27,11.8,12.1,11.5,11.64,511926,81.33
2026-08-28,11.96,11.96,11.45,11.5,207955,83.23
2026-08-31,13.8,13.8,12.25,13.12,3208132,54.33
2026-09-01,13.45,13.45,11.57,12.61,1206915,65.47
2026-09-02,13.0,13.0,12.5,12.91,506482,78.68
2026-09-03,13.0,13.44,12.96,13.19,704727,63.5
2026-09-04,13.19,13.2,12.82,13.03,603720,83.95
2026-09-07,13.06,13.23,12.63,12.96,341167,78.87
2026-09-08,13.01,13.1,12.51,12.62,465876,68.88
2026-09-09,12.55,13.0,12.5,12.65,376947,82.0
2026-09-10,12.58,12.97,12.58,12.83,205672,81.5
2026-09-11,12.95,12.95,12.6,12.74,169288,79.96
2026-09-14,12.95,12.95,12.6,12.74,169288,79.96
2026-09-15,13.18,13.18,12.4,12.47,274163,78.34
2026-09-16,12.95,12.95,12.05,12.23,243216,75.49
2026-09-17,12.23,12.82,12.2,12.39,193860,78.22
2026-09-18,12.6,12.6,12.0,12.11,346283,86.76
2026-09-21,12.16,12.5,11.75,11.8,455614,83.34
2026-09-22,11.82,11.99,11.55,11.69,253663,71.32
2026-09-23,11.9,11.95,11.7,11.78,237499,77.15
2026-09-24,11.85,11.85,11.11,11.59,340911,69.5
