DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,68.77,69.75,68.0,68.98,844424,56.51
2025-04-15,69.49,72.0,69.03,71.91,1122780,64.02
2025-04-16,72.08,72.88,71.25,72.44,881160,60.76
2025-04-17,72.01,73.0,72.01,72.39,1518033,86.41
2025-04-21,73.1,74.42,72.4,73.97,894900,51.03
2025-04-22,73.94,74.94,73.52,74.7,645320,63.01
2025-04-23,75.0,76.0,72.0,75.29,1603933,59.92
2025-04-24,75.29,76.02,74.76,74.89,630907,63.05
2025-04-25,74.88,75.64,71.93,73.07,1536475,51.55
2025-04-28,73.0,77.0,72.6,76.11,2301249,57.77
2025-04-29,76.88,80.69,76.5,79.92,6961929,71.62
2025-04-30,80.5,84.85,77.66,78.11,3894689,56.48
2025-05-02,79.19,79.25,77.0,77.15,2924236,58.16
2025-05-05,78.7,78.9,77.27,78.75,2985303,72.7
2025-05-06,79.72,80.09,76.56,76.84,1842779,56.56
2025-05-07,78.32,78.71,75.53,76.31,1987598,45.93
2025-05-08,77.12,77.85,75.25,75.62,1134899,41.75
2025-05-09,75.99,78.92,72.0,78.04,4932284,70.41
2025-05-12,80.14,81.0,77.85,78.4,2896383,61.87
2025-05-13,78.56,81.99,78.54,81.68,5233874,69.58
2025-05-14,81.99,85.49,81.68,84.32,7262129,62.52
2025-05-15,84.85,86.59,84.12,86.42,4563086,54.28
2025-05-16,86.86,93.0,86.42,91.4,10260127,57.22
2025-05-19,92.77,95.9,89.72,90.11,7617515,51.57
2025-05-20,90.9,91.59,87.03,87.72,4775816,56.73
2025-05-21,90.35,91.5,87.25,91.07,5279699,55.03
2025-05-22,91.07,93.05,90.4,92.83,5029847,41.82
2025-05-23,95.0,95.0,91.64,92.78,2763802,46.19
2025-05-26,93.74,94.2,92.5,93.96,2398368,52.08
2025-05-27,94.5,95.94,93.97,95.1,4188410,66.5
2025-05-28,95.79,96.42,94.39,95.81,2867198,51.81
2025-05-29,96.8,98.04,95.8,96.32,2586874,58.28
2025-05-30,96.32,96.78,94.83,95.08,3290865,46.91
2025-06-02,95.39,95.6,94.18,95.35,1978956,50.68
2025-06-03,95.77,97.1,95.36,96.65,2519616,53.59
2025-06-04,96.65,98.79,96.64,97.43,3812211,63.0
2025-06-05,98.0,99.9,97.2,99.5,2855212,41.25
2025-06-06,101.98,101.98,97.53,97.8,3992147,61.49
2025-06-09,98.69,98.97,97.38,97.53,2320996,53.72
2025-06-10,99.5,99.5,97.61,98.83,1932154,43.72
2025-06-11,101.3,101.71,95.8,96.61,3457195,55.81
2025-06-12,99.02,99.02,94.65,94.88,3571703,38.67
2025-06-13,97.25,97.75,92.03,96.47,6501141,49.45
2025-06-16,96.87,97.89,94.39,96.91,4764836,28.07
2025-06-17,99.33,99.34,96.64,97.79,2688620,49.1
2025-06-18,98.9,98.9,97.0,97.32,1244690,44.43
2025-06-19,97.4,98.5,95.0,95.71,5335106,43.24
2025-06-20,98.1,98.71,94.65,97.34,3045767,39.47
2025-06-23,96.49,100.29,96.49,99.81,9734660,72.52
2025-06-24,102.0,102.0,96.9,97.27,5288726,51.09
2025-06-25,99.7,99.7,95.0,95.07,4641738,52.82
2025-06-26,95.18,96.64,94.88,95.47,3068241,53.74
2025-06-27,96.19,96.86,95.72,96.36,2140601,52.9
2025-06-30,97.0,97.65,96.48,97.44,1927664,53.27
2025-07-01,99.0,99.0,97.53,97.8,2805826,47.58
2025-07-02,100.73,100.73,96.5,97.38,2787966,76.14
2025-07-03,99.0,99.0,96.72,97.06,2521775,58.4
2025-07-04,97.89,99.01,97.31,97.91,5199220,35.91
2025-07-07,99.9,99.9,96.71,97.15,1539077,51.27
2025-07-08,97.47,97.9,96.31,96.93,1299928,47.23
2025-07-09,97.89,98.01,96.51,97.22,2574325,38.14
2025-07-10,99.65,99.65,95.0,95.23,2761956,69.59
2025-07-11,95.36,95.63,93.06,93.52,3017437,55.36
2025-07-14,95.85,95.85,91.95,92.48,2817501,62.04
2025-07-15,94.79,94.79,92.0,93.12,1891427,39.65
2025-07-16,93.29,93.36,92.52,92.68,1066887,59.95
2025-07-17,92.84,93.01,91.6,91.73,1559169,64.27
2025-07-18,93.0,93.0,89.5,89.67,5927460,74.63
2025-07-21,90.01,90.55,88.75,90.4,3108419,57.1
2025-07-22,90.4,91.42,90.37,90.52,1376202,53.42
2025-07-23,92.78,92.78,89.3,90.02,1664329,53.26
2025-07-24,90.02,90.44,89.21,89.56,1349340,52.6
2025-07-25,90.5,90.5,87.75,87.84,2197414,60.84
2025-07-28,88.01,88.39,85.46,86.11,2291660,57.57
2025-07-29,84.61,88.26,84.3,85.8,2546953,65.74
2025-07-30,85.89,86.51,85.48,86.01,1254837,58.02
2025-07-31,86.0,86.5,84.67,85.4,1790255,66.64
2025-08-01,87.53,87.53,83.5,83.67,1631764,70.79
2025-08-04,83.67,86.3,83.67,85.8,2358084,45.96
2025-08-05,86.9,86.9,85.11,86.5,1158069,59.84
2025-08-06,88.66,88.7,85.64,86.05,1857374,60.32
2025-08-07,86.05,86.29,84.42,85.63,1328141,57.78
2025-08-08,85.98,85.98,83.4,83.58,1744838,68.1
2025-08-11,84.39,86.15,83.37,84.55,4313598,74.29
2025-08-12,84.84,84.88,83.21,83.71,1853134,65.28
2025-08-13,84.34,86.4,84.13,85.99,2542148,58.64
2025-08-14,83.84,86.87,83.84,85.83,1234594,66.14
2025-08-18,86.98,87.89,85.55,85.89,1902867,67.49
2025-08-19,88.03,88.03,84.77,84.9,1499335,62.75
2025-08-20,86.0,86.44,84.33,84.37,1457561,54.07
2025-08-21,83.21,85.84,83.21,84.63,1606889,56.45
2025-08-22,84.63,86.1,82.51,84.82,1002685,46.37
2025-08-25,85.9,85.9,84.5,84.6,1250375,65.31
2025-08-26,84.59,84.8,82.5,82.67,2355296,82.26
2025-08-28,81.05,83.1,81.02,81.33,2161764,67.84
2025-08-29,79.29,83.2,79.29,81.49,2182747,62.21
2025-09-01,81.99,83.55,81.4,83.3,1931114,55.39
2025-09-02,83.94,84.74,83.17,84.13,1915877,55.09
2025-09-03,84.34,84.9,84.05,84.42,1527224,54.19
2025-09-04,84.42,85.9,82.72,82.95,1800863,56.23
2025-09-05,83.36,83.64,82.25,82.66,1103502,59.95
2025-09-08,83.8,83.8,82.51,82.89,943177,52.57
2025-09-09,83.48,83.48,82.21,82.72,1231657,63.44
2025-09-10,83.04,85.0,82.73,84.87,2258102,64.14
2025-09-11,85.29,85.8,84.52,84.69,1739598,64.2
2025-09-12,84.09,88.99,84.09,88.48,6493536,64.74
