DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,127.81,127.81,126.09,127.34,30095,69.16
2025-04-15,128.96,130.99,128.37,130.96,60978,83.7
2025-04-16,134.9,134.9,129.96,130.86,48520,82.12
2025-04-17,131.86,132.35,128.3,132.08,23458,81.95
2025-04-21,133.91,134.78,131.77,134.68,68178,72.84
2025-04-22,138.7,138.7,134.01,135.0,15888,86.88
2025-04-23,139.05,139.05,134.35,136.75,48718,59.65
2025-04-24,140.85,140.85,136.32,136.81,20602,69.66
2025-04-25,140.28,140.28,133.0,133.84,42780,65.84
2025-04-28,137.98,137.98,133.0,136.79,40942,62.08
2025-04-29,138.63,138.63,136.6,136.9,41466,68.37
2025-04-30,136.68,137.45,136.18,136.72,25565,88.03
2025-05-02,140.82,140.82,135.36,135.93,61350,75.2
2025-05-05,137.73,138.15,135.95,138.1,40780,83.68
2025-05-06,142.24,142.24,136.02,136.33,17590,85.84
2025-05-07,135.65,138.5,135.38,137.14,44713,55.23
2025-05-08,135.81,137.83,134.66,135.15,15699,86.24
2025-05-09,139.2,139.2,133.55,135.19,9930,58.21
2025-05-12,139.25,139.25,135.19,138.87,59720,55.75
2025-05-13,138.87,140.09,138.0,138.56,45554,75.21
2025-05-14,142.72,142.72,138.81,141.17,38492,80.73
2025-05-15,141.87,144.0,139.47,143.07,23785,77.27
2025-05-16,147.36,147.36,143.0,144.11,17965,74.8
2025-05-19,144.48,144.7,141.83,144.25,30134,83.94
2025-05-20,148.58,148.58,141.53,141.85,43544,86.3
2025-05-21,146.11,146.11,142.1,143.33,19446,62.5
2025-05-22,147.63,147.63,141.72,142.63,10794,69.2
2025-05-23,143.34,143.61,142.61,143.41,33586,97.18
2025-05-26,143.4,145.0,139.1,144.49,72384,83.15
2025-05-27,148.82,148.82,142.98,143.46,781556,98.08
2025-05-28,147.03,147.76,143.14,143.45,10059,74.64
2025-05-29,141.61,144.41,141.6,143.88,34674,86.08
2025-05-30,148.2,148.2,142.91,143.28,68954,67.34
2025-06-02,147.58,147.58,141.85,143.14,42141,58.71
2025-06-03,147.43,147.43,142.39,142.52,9339,81.86
2025-06-04,144.44,144.44,142.04,142.79,5366,78.83
2025-06-05,147.07,147.07,141.36,143.7,13570,58.0
2025-06-06,143.69,144.73,143.37,144.62,34363,53.24
2025-06-09,147.64,147.64,144.99,145.64,28656,66.24
2025-06-10,150.01,150.01,145.75,145.97,18827,85.42
2025-06-11,146.11,146.88,145.61,146.19,44324,76.19
2025-06-12,150.58,150.58,143.68,143.78,266281,97.75
2025-06-13,148.09,148.09,141.02,143.57,12278,83.06
2025-06-16,147.88,147.88,142.25,144.6,12822,72.0
2025-06-17,148.94,148.94,143.3,143.6,8776,85.4
2025-06-18,146.59,146.59,142.88,143.35,15393,90.8
2025-06-19,147.65,147.65,141.87,142.18,15819,70.83
2025-06-20,146.46,146.46,142.26,143.56,9215,60.92
2025-06-23,147.87,147.87,141.56,143.94,12700,87.83
