DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,89.03,91.27,89.03,90.11,209850,84.21
2025-04-15,91.43,92.25,90.34,91.9,138341,77.75
2025-04-16,91.99,92.98,91.51,92.48,242717,93.15
2025-04-17,92.47,94.18,91.82,94.08,144280,81.13
2025-04-21,94.14,95.59,94.14,95.38,217470,61.99
2025-04-22,95.59,95.9,94.92,95.53,10634566,99.56
2025-04-23,95.8,96.1,95.31,95.93,221312,80.27
2025-04-24,95.93,96.49,95.41,95.54,127150,90.23
2025-04-25,95.42,96.49,93.97,95.0,900951,95.31
2025-04-28,95.47,96.13,94.99,95.84,449342,81.95
2025-04-29,96.49,96.68,95.85,96.23,181639,87.2
2025-04-30,96.53,96.6,96.05,96.45,84739,75.46
2025-05-02,96.54,97.3,96.1,96.62,92686,75.56
2025-05-05,97.29,97.29,96.2,96.55,95647,90.24
2025-05-06,97.04,97.3,96.01,96.16,77514,79.94
2025-05-07,96.64,96.64,95.71,96.34,70055,75.17
2025-05-08,96.99,96.99,95.7,96.08,28653,72.5
2025-05-09,96.1,96.1,95.23,95.42,207753,85.09
2025-05-12,96.97,98.89,96.89,98.74,609911,56.41
2025-05-13,98.73,98.88,97.11,97.28,158956,90.56
2025-05-14,98.77,98.77,97.1,97.63,89621,90.73
2025-05-15,97.8,98.8,96.9,98.64,160197,73.22
2025-05-16,99.05,99.05,98.15,98.51,105248,92.53
2025-05-19,99.0,99.0,97.55,97.66,310312,72.44
2025-05-20,97.65,99.0,97.25,97.42,193797,66.19
2025-05-21,97.9,98.62,97.13,97.64,64571,84.2
2025-05-22,97.6,97.85,96.31,96.92,200076,96.85
2025-05-23,97.09,98.0,96.95,97.94,698505,97.5
2025-05-26,98.42,99.14,97.86,98.45,97079,75.9
2025-05-27,98.94,98.94,97.34,97.82,122091,79.05
2025-05-28,98.3,98.5,97.33,97.75,651410,98.48
2025-05-29,98.23,98.24,97.22,97.78,174752,82.16
2025-05-30,98.79,98.79,97.35,97.79,56760,67.68
2025-06-02,98.0,98.79,96.7,97.56,123432,81.64
2025-06-03,97.99,97.99,96.72,96.99,110516,84.54
2025-06-04,97.5,97.5,96.8,97.18,762890,96.7
2025-06-05,97.19,98.33,96.97,97.51,31933,79.86
2025-06-06,97.52,98.25,96.97,98.09,75909,86.19
2025-06-09,98.39,98.75,98.09,98.63,107749,88.99
2025-06-10,98.81,99.05,98.35,98.93,67444,90.96
2025-06-11,99.35,99.35,98.75,99.2,133655,96.08
2025-06-12,99.35,99.35,97.74,98.36,71499,83.37
2025-06-13,97.51,98.8,96.79,97.74,490698,88.65
2025-06-16,98.49,99.09,97.54,98.57,104412,81.23
2025-06-17,98.97,98.98,97.78,98.45,103909,80.95
2025-06-18,98.45,98.77,97.82,98.11,118867,71.03
2025-06-19,98.38,98.38,98.03,98.36,44888,92.84
2025-06-20,98.84,99.4,97.58,99.16,106367,77.06
2025-06-23,97.88,99.87,96.2,98.72,39049,80.71
2025-06-24,98.5,99.8,98.49,98.87,137283,84.08
2025-06-25,99.0,99.55,98.99,99.44,23245,85.66
2025-06-26,99.43,100.74,97.99,100.55,1023894,93.57
2025-06-27,101.0,101.28,100.01,100.94,127165,83.82
2025-06-30,101.06,101.79,99.72,100.42,88330,83.34
2025-07-01,103.43,103.43,100.07,100.38,139073,85.79
2025-07-02,100.39,100.87,99.65,100.01,73033,85.18
2025-07-03,100.32,100.32,99.5,99.62,42585,80.58
2025-07-04,99.97,100.43,99.11,100.1,137155,87.15
2025-07-07,99.11,101.34,99.11,100.2,43762,76.68
2025-07-08,100.2,101.33,100.06,100.63,96584,88.97
2025-07-09,101.13,101.13,100.0,100.26,267130,93.71
2025-07-10,100.36,100.36,99.35,99.48,148450,78.79
2025-07-11,99.48,99.48,98.47,98.81,845574,92.9
2025-07-14,101.19,101.19,97.89,97.91,579229,59.39
2025-07-15,97.91,99.42,97.91,98.64,200766,81.99
2025-07-16,98.65,98.92,98.25,98.47,295504,76.04
2025-07-17,98.48,99.6,98.0,98.09,62386,75.75
2025-07-18,98.25,98.65,97.0,97.26,218602,82.27
2025-07-21,97.99,97.99,96.82,97.52,122185,56.48
2025-07-22,98.01,98.18,97.0,97.18,83996,80.48
2025-07-23,98.43,98.49,97.11,97.84,18533,79.66
